S/N,Project,Project Description,Project Type,Preliminary Cost Estimate(=N=),Preliminary Cost/m2,Initial Contract Sum,Actual Project Cost at Completion,Site Area(m2),Total Gross Floor Area(m2),Total No. of Floors,Floor-to-floor height(m),Ground Floor Area(m2),No of Basements,Total Basement Area(m2),Project Start Date,Project End Date,Planned Project Duration (weeks),Actual Project Duration (weeks),Contractor Grade,
67,Shopping Mall,"Shopping Mall Development at Mushin, Lagos State",Retail,100000000,50000,100000000,110000000,648,600,3,3.3,520,0,0,01/09/2011,19/01/2012,16,20,,
68,,"Residential Development, Imo State",Residential,30000000,165000,21800000,25000000,648,180,1,3.3,180,0,0,01/12/2013,01/03/2014,4,12,,
69,,"Proposed Residential Development at Oworonshoki, Kosofe LGA, Lagos State",Residential,350000000,175000,256000000,300000000,712.9,698.33,2,3,325.31,0,0,01/06/2022,01/09/2022,8,12,,
70,Residential/ Commercial Development,"Proposed Mixed-use Development at Ojota, Kosofe LGA, Lagos",Retail,200000000,175000,244000000,250000000,382.65,1142.86,3,3.6,98.96,0,0,01/01/2022,01/04/2022,12,12,,
71,,"Proposed Residential Development at Okota Oshodi/Isolo LGA, Lagos State",Residential,450000000,175000,400000000,475000000,627.486,2571.43,2,3,252.353,0,0,01/05/2021,01/10/2021,16,20,,
72,,"Proposed Residential Development at Obafemi-Owode LGA, Ogun State",Residential,75000000,160000,75000000,80000000,1755.141,468.75,2,3,241.82,0,0,01/01/2022,01/05/2022,12,16,,
73,Bank Development,Development of single floor Bank Branch in Apapa,Commercial,,,,57711926.4,,352.97,1,,,0,0,24/09/2018,13/05/2019,,31,C,
74,Bank Development,Development of 2 storey Bank in Marina,Commercial,,,,138032199.6,,469.78,2,,,0,0,22/10/2018,27/02/2019,,17,C,
75,Bank Development,Development of 2 storey Bank branch in Festac,Commercial,,,,135918207,,828.33,2,,,0,0,24/09/2018,13/05/2019,,31,C,
76,Residential Building,8 units of 2 bedroom flats and 1 unit of  1 bedroom flat in Oniru,Residential,,,254626953.4,280089648.7,,1772.72,5,,,0,0,12/07/2015,21/07/2017,,80,C,
77,Office Development,OFFICE BUILDING,Commercial,,,567000000.1,637363093.2,2055.39,1331.8,5,3.6,,0,0,02/06/2013,25/01/2015,42,86,A,
78,Bank Building,BANK BUILDING,Commercial,,,375000000,290165798.6,2055.39,900,2,3.6,,0,0,16/06/2015,12/01/2016,20,30,A,
79,Bank Development,BANK BUILDING+ OFFICE,Commercial,,,97650000,95012036.28,771.75,1055,4,3.6,,0,0,22/08/2015,07/01/2017,60,72,B,
80,VGCHAUS,RESIDENCE,Residential,,,60000000,76000000,611.47,470.8,2,3.6,,0,0,05/03/2016,30/04/2016,6,8,C,
81,Bank Development,BANK BUILDING,Commercial,,,392196918.7,385607430.3,926.7,2529.9,4,3,,0,0,05/11/2018,03/06/2019,28,30,B,
82,Church Auditorium,AUDITORIUM,Religious,,,480000000,520000000,10100,2340,2,7,,0,0,12/11/2015,26/05/2016,24,28,C,
83,Bank Building,BANK,Commercial,,,374784933.6,388395311.6,2261.8,2038,3,3.6,,1,634,10/12/2019,04/01/2022,15,108,C,
84,Bank Development,BANK+ OFFICE,Commercial,,,370000000,410000000,1219,781.47,2,3.3,,0,0,21/01/2022,15/04/2022,12,12,C,
85,Office Building Development,OFFICE BUILDING,Commercial,,,330000000,728000000,10100,2702,7,3.6,,0,0,30/08/2019,27/03/2020,24,30,C,
86,Library,Educational,Civic,7000000,83000,,12000000,154,84,1,3.6,84,0,0,01/01/2005,07/09/2005,24,36,,
87,School,Educational,Educational,12000000,76000,,16680000,456,182,2,3,91,0,0,09/03/2005,23/05/2006,48,52,,
88,House,Residential,Residential,10000000,92000,10000000,10500000,542,162,2,3,81,0,0,25/06/2012,04/08/2014,48,100,,
89,Church,Religious,Religious,27000000,112000,38000000,41664000,1420,372,3,3.6,102,0,0,28/09/2012,02/03/2013,16,24,,
91,Abattoir,Commercial,Agricultural,180000000,75000,213900000,220000000,5230,2852,1,3,2852,0,0,21/06/2013,26/09/2014,60,66,,
92,House,Residential,Residential,15000000,94000,,18240000,648,186,2,3,86,0,0,16/10/2013,03/11/2014,72,48,,
93,House,Residential,Residential,8000000,102000,,10512000,656,78,1,3,78,0,0,04/10/2013,06/08/2014,28,40,,
94,House,Residential,Residential,320000000,608000,,286000000,1944,526,3,3.3,218,1,96,28/01/2014,24/03/2015,60,60,,
95,House,Residential,Residential,,,,16800000,652,201,1,3,201,0,0,08/04/2014,23/03/2015,48,44,,
96,House,Residential,Residential,,,,10950000,556,166,2,3,78,0,0,15/08/2014,23/12/2015,48,64,,
97,Hostel,Commercial,Hotel,,,,28800000,649,286,3,3,84,0,0,27/05/2014,03/04/2016,72,92,,
98,Office,Commercial,Commercial,24000000,62000,28800000,30280800,632,384,2,3,192,0,0,26/10/2014,03/09/2015,48,44,,
99,House,Residential,Residential,9200000,56000,9600000,11760000,546,164,2,3,82,0,0,22/01/2015,14/02/2016,48,48,,
100,Farm,Commercial,Agricultural,5000000,,5000000,5240000,2156,44,2,3,20,0,0,13/04/2015,02/10/2015,20,24,,
101,House,Commercial,Residential,10600000,41000,10000000,12800000,702,256,2,3,128,0,0,24/03/2015,02/09/2016,72,76,,
102,House,Residential,Residential,9600000,58000,10800000,12200000,546,164,2,3,82,0,0,02/04/2015,29/03/2016,48,44,,
103,House,Residential,Residential,5236000,58000,11250000,12200000,655,484,2,3,242,0,0,04/03/2016,23/11/2016,24,28,,
104,Church,Religious,Religious,10000000,,11666666.66,12208333.34,864,178,2,3.6,,0,0,25/06/2016,13/07/2016,10,12,,
105,Hospital,Commercial,Medical,170000000,,153400000,160000000,,1278,4,3.6,,0,0,19/01/2017,23/03/2017,26,33,,
106,School,Commercial,Educational,45000000,,53333333.33,60800000,720,728,2,7.2,364,0,0,15/02/2017,20/03/2017,12,15,,
107,Shopping complex,Commercial,Retail,10000000,50000,10000000,11200000,68,96,2,3,48,0,0,07/08/2017,12/03/2018,24,24,,
108,Church,Religious,Religious,30000000,75000,37500000,45682500,977,323,1,6.6,323,0,0,05/03/2018,24/07/2020,48,112,,
109,House,Residential,Residential,10000000,42000,31500000,31185126,219,309,3,3,103,0,0,16/04/2018,12/12/2018,32,32,,
110,House,Residential,Residential,50000000,105000,70000000,72465000,470,585,3,3,183,0,0,01/06/2018,18/08/2019,48,56,,
111,House,Residential,Residential,32400000,35000,40500000,42300000,542,468,2,3,232,0,0,27/11/2018,13/10/2020,96,98,,
112,Staff Quarters,Residential,Residential,13000000,105000,15000000,16950000,3664,130,1,3.6,1065,0,0,01/04/2019,11/02/2020,24,32,,
113,Clinic,Commercial,Medical,60000000,110000,60000000,55657000,657,468,3,3,146,0,0,23/05/2020,02/06/2021,32,48,,
114,School,Commercial,Educational,32000000,85000,80500000,84801000,1186,864,2,3.6,432,0,0,05/06/2020,04/05/2022,24,92,,
115,House,Residential,Residential,17640000,35000,18450000,19285150,289,147,1,3,147,0,0,12/06/2020,11/06/2021,48,52,,
116,Filling station,Commercial,Filling Station,93240000,180000,129500000,139212500,1619,518,2,3,258,0,0,30/06/2020,12/09/2020,16,24,,
117,Shopping complex,Commercial,Retail,24000000,85000,68000000,69255000,618,771,3,4,257,0,0,30/03/2021,23/10/2021,24,28,,
118,country home,Residential,Residential,25000000,60000,30000000,33657900,944,206,2,3,153,0,0,31/05/2021,12/11/2021,24,24,,
119,House,Residential,Residential,24000000,85000,27000000,28345860,252,224,2,3,112,0,0,30/11/2021,19/08/2022,36,32,,
120,Hospital,Commercial,Medical,150000000,,184000000,198792400,2001,1176,3,3.3,392,0,0,06/02/2022,23/10/2022,24,32,,
